mes_id,protesta_masiva,numero_eventos_previos,duracion_horas,numero_participantes,numero_detenidos,periodo_pre90,periodo_90_00,periodo_01_16,actor_laboral,actor_territorial_social,actor_economico,actor_estudiantil,violencia_y
4,0,60,24.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,1
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,14,48.0,600.0,15.0,1,0,0,0,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,0,0,0,0,0
4,0,14,48.0,600.0,15.0,1,0,0,0,0,1,0,0
4,0,60,96.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,144.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,14,24.0,260.0,15.0,1,0,0,1,0,0,0,0
4,0,0,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,0,1,0,0,1
4,0,60,24.0,600.0,15.0,1,0,0,0,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,24.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,14,48.0,1200.0,15.0,1,0,0,0,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,0,1,0,0,1
4,0,14,192.0,850.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,3,48.0,600.0,15.0,1,0,0,0,0,1,0,0
4,0,60,72.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,0,0,1,0,0
4,0,60,24.0,3.0,15.0,1,0,0,0,0,0,0,1
4,0,60,3.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,2,48.0,600.0,15.0,1,0,0,0,0,1,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,14,48.0,850.0,15.0,1,0,0,1,0,0,0,0
4,0,14,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,0,0,0,0,0
4,0,60,3.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,504.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,528.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,0,0,0,1,0
4,0,60,48.0,600.0,15.0,1,0,0,0,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,120.0,3.0,15.0,1,0,0,0,0,0,0,1
4,0,60,24.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,672.0,600.0,15.0,1,0,0,1,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,1,1,48.0,5000.0,15.0,1,0,0,0,0,0,0,0
5,0,4,24.0,600.0,15.0,1,0,0,0,0,1,0,0
5,0,34,48.0,600.0,15.0,1,0,0,0,0,0,0,0
5,0,1,48.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,34,360.0,600.0,15.0,1,0,0,1,0,0,0,0
5,0,8,48.0,850.0,15.0,1,0,0,1,0,0,0,0
5,0,34,48.0,600.0,15.0,1,0,0,1,0,0,0,1
